,As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I,S-II,Final,Proj
30,22.0,0.0,49.0,80.0,,,5.0,0.0,31.25,0.0,70.0,45.0,,,24.133333333333333,5.4,31.355555555555554,
31,69.0,86.66666666666667,76.0,86.25,,,65.0,0.0,56.25,31.3,10.0,60.0,,,45.800000000000004,33.6,56.333333333333336,
32,73.5,57.49999999999999,71.0,77.5,,,55.00000000000001,60.0,37.5,80.0,90.0,60.0,,,53.333333333333336,65.46666666666667,69.22222222222221,
33,23.5,60.83333333333333,52.0,37.5,,,25.0,40.0,43.75,0.0,50.0,30.0,,,57.46666666666667,30.866666666666664,31.488888888888887,
34,88.0,88.33333333333333,71.0,73.75,,,35.0,20.0,50.0,40.0,20.0,10.0,,,53.333333333333336,37.2,51.800000000000004,
35,45.5,74.16666666666667,65.0,61.25000000000001,,,5.0,20.0,0.0,20.0,30.0,60.0,,,60.8,44.46666666666667,51.33333333333334,
36,65.0,90.0,84.0,95.0,,,5.0,50.0,56.25,70.0,90.0,80.0,,,30.0,83.6,84.06666666666666,
37,40.0,0.0,45.0,50.0,,,5.0,0.0,43.75,35.0,30.0,10.0,,,16.666666666666664,23.6,20.511111111111113,
38,41.5,85.83333333333333,86.0,96.25,,,60.0,0.0,62.5,51.300000000000004,40.0,65.0,,,60.8,64.53333333333333,82.8,
39,67.0,89.16666666666667,75.0,73.75,,,100.0,30.0,56.25,10.0,80.0,70.0,,,61.66666666666667,63.53333333333333,66.77777777777779,
40,24.0,85.0,69.0,0.0,,,65.0,60.0,18.75,50.0,80.0,70.0,,,55.00000000000001,53.53333333333333,66.22222222222223,
41,28.499999999999996,63.33333333333333,80.0,87.5,,,100.0,50.0,75.0,20.0,90.0,65.0,,,51.66666666666667,61.73333333333333,65.15555555555555,
42,72.5,0.0,65.0,63.74999999999999,,,15.0,0.0,25.0,0.0,0.0,10.0,,,60.0,35.4,46.8,
43,61.0,84.16666666666667,89.0,77.5,,,5.0,0.0,31.25,10.0,40.0,10.0,,,22.46666666666667,40.86666666666667,39.08888888888889,
44,38.0,79.16666666666666,74.0,83.75,,,35.0,10.0,68.75,0.0,30.0,65.0,,,30.0,33.6,40.86666666666667,
45,17.5,77.5,52.0,72.5,,,0.0,20.0,50.0,30.0,65.0,50.0,,,55.00000000000001,54.46666666666666,57.68888888888889,
46,59.5,63.33333333333333,88.0,67.5,,,5.0,40.0,12.5,10.0,10.0,50.0,,,46.666666666666664,19.066666666666666,27.73333333333333,
47,22.0,0.0,50.0,55.00000000000001,,,5.0,0.0,43.75,0.0,65.0,30.0,,,51.66666666666667,29.06666666666667,41.82222222222222,
48,99.0,95.0,97.0,100.0,,,100.0,100.0,81.25,90.99999999999999,100.0,100.0,,,91.66666666666666,100.0,91.75555555555556,
49,70.0,71.66666666666667,52.0,42.5,,,5.0,0.0,68.75,30.0,85.0,10.0,,,60.0,59.06666666666667,59.77777777777777,
50,37.0,0.0,88.0,83.75,,,15.0,0.0,0.0,40.0,50.0,60.0,,,60.0,59.93333333333334,67.75555555555555,
0,33.5,73.33333333333333,89.0,91.25,,,0.0,0.0,31.25,50.0,5.0,70.0,,,36.666666666666664,50.866666666666674,55.75555555555556,
